Country,partyID,partyNAME
Albania,80001,  Socialist Party of Albania (PS)
Albania,80002,  Democratic Party of Albania (PD)
Albania,80003,  Socialist Movement for Integration (LSI)
Albania,80004,  Republican Party (PR)
Albania,80005,  Social Democratic Party of Albania (PSD)
Albania,80006,"  Party for Justice, Integration and Unity (PDIU) - SEE POLITY NOTES"
Albania,80007,  Libra Party (LIBRA)
Albania,80010,  Christian Democratic Party (PDK)
Albania,80011,  Democratic Alliance Party (PAD)
Albania,80012,  New Democratic Spirit (FRD)
Albania,80013,  CHALLENGE! for Albania (SFIDA!)
Albania,80014,  Party for the Future of the Greek Minority (MEGA)
Albania,80015,  Social Democracy Party of Albania (PDS)
Albania,80016,  Albanian Party of Democratic Reforms (PR)
Albania,80017,  Red and Black Alliance (AK)
Albania,80030,  New Democratic Party (PDR)
Albania,80031,  Agrarian Party (PAA)
Albania,80032,  Movement of Leka Zogu I (LZhK)
Albania,80033,  Human Rights Union Party (PBDNj)
Albania,80100,  Union for Victory (Parta Demokratike+PR+PLL+PBK+PBL)
Argentina,320001,  Front for the Victory (FPV)
Argentina,320002,  Let's Change (Cam) - SEE POLITY NOTES
Argentina,320003,  United for a New Alternative (UNA) - SEE POLITY NOTES 
Argentina,320004,  Workers' Left Front (FIT)
Argentina,320005,  Progressives (Pro)
Argentina,320006,  Federal Commitment (ACF)
Argentina,320007,  Republican Proposal (PRO)
Argentina,320008,  Radical Civic Union (UCR)
Argentina,320009,"  Justicialist Party (PJ, Peronismo)"
Argentina,320020,  Popular Union (UP)
Argentina,320021,  Broad Progressive Front (FAP) - SEE POLITY NOTES 
Argentina,320022,  Civic Coalition ARI (CC-ARI)
Australia,360001,  Liberal Party (LP)
Australia,360002,  National Party of Australia (NPA) - SEE ELECTION STUDY NOTES 
Australia,360003,  Australian Labor Party (ALP)
Australia,360004,  Australian Democrats (AD)
Australia,360005,  Australian Greens (AG)
Australia,360007,  Liberal Democratic Party (LDP)
Australia,360008,  One Nation Party (ONP)
Australia,360009,  Christian Democratic Party (CDP)
Australia,360010,  The Australian Sex Party (ASXP)
Australia,360011,  Family First Party (FFP)
Australia,360012,  Katter's Australia Party (KAP)
Australia,360013,  Palmer United Party (PUP) / Clive Palmer's United Australia Party (UAP)
Australia,360014,  Citizens Electoral Council (CEC)
Australia,360015,  Australian Shooters (Fishers and Farmers) Party - SEE POLITY NOTES
Australia,360016,  Motoring Enthusiasts Party (AMEP)
Australia,360017,  Fishing Party (TFP)
Australia,360018,  The Wikileaks Party (WKP)
Australia,360019,  Australian Christians (AUC)
Australia,360020,  Animal Justice Party (AJP)
Australia,360021,  Fraser Anning's Conservative National Party
Australia,360022,  Centre Alliance
Australia,360023,  Sustainable Australia
Australia,360024,  Derryn Hinch's Justice Party
Australia,360025,  Western Australia Party
Australia,360026,  Democratic Labor Party (DLP)
Australia,360027,  Rise Up Australia Party
Australia,360028,  Science Party
Australia,360029,  Victorian Socialists (VS)
Australia,360030,  Reason Australia 
Australia,360031,  Australia First Party (NSW) Incorporated (AFP)
Australia,360032,  The Great Australian Party
