"case_ID","Countryname","Year","Letter","partyID","Country","partyNAME"
"Albania_2005","Albania","2005","A",80002,"Albania","  Democratic Party of Albania (PD)"
"Albania_2005","Albania","2005","B",80001,"Albania","  Socialist Party of Albania (PS)"
"Albania_2005","Albania","2005","C",80004,"Albania","  Republican Party (PR)"
"Albania_2005","Albania","2005","D",80005,"Albania","  Social Democratic Party of Albania (PSD)"
"Albania_2005","Albania","2005","E",80003,"Albania","  Socialist Movement for Integration (LSI)"
"Albania_2005","Albania","2005","F",80030,"Albania","  New Democratic Party (PDR)"
"Albania_2005","Albania","2005","G",80031,"Albania","  Agrarian Party (PAA)"
"Albania_2005","Albania","2005","H",80011,"Albania","  Democratic Alliance Party (PAD)"
"Albania_2005","Albania","2005","I",80010,"Albania","  Christian Democratic Party (PDK)"
"Albania_2017","Albania","2017","A",80001,"Albania","  Socialist Party of Albania (PS)"
"Albania_2017","Albania","2017","B",80002,"Albania","  Democratic Party of Albania (PD)"
"Albania_2017","Albania","2017","C",80003,"Albania","  Socialist Movement for Integration (LSI)"
"Albania_2017","Albania","2017","D",80006,"Albania","  Party for Justice, Integration and Unity (PDIU) - SEE POLITY NOTES"
"Albania_2017","Albania","2017","E",80007,"Albania","  Libra Party (LIBRA)"
"Albania_2017","Albania","2017","F",80005,"Albania","  Social Democratic Party of Albania (PSD)"
"Argentina_2015","Argentina","2015","A",320001,"Argentina","  Front for the Victory (FPV)"
"Argentina_2015","Argentina","2015","B",320002,"Argentina","  Let's Change (Cam) - SEE POLITY NOTES"
"Argentina_2015","Argentina","2015","C",320003,"Argentina","  United for a New Alternative (UNA) - SEE POLITY NOTES "
"Argentina_2015","Argentina","2015","D",320004,"Argentina","  Workers' Left Front (FIT)"
"Argentina_2015","Argentina","2015","E",320005,"Argentina","  Progressives (Pro)"
"Argentina_2015","Argentina","2015","F",320006,"Argentina","  Federal Commitment (ACF)"
"Argentina_2015","Argentina","2015","G",320007,"Argentina","  Republican Proposal (PRO)"
"Argentina_2015","Argentina","2015","H",320008,"Argentina","  Radical Civic Union (UCR)"
"Argentina_2015","Argentina","2015","I",320009,"Argentina","  Justicialist Party (PJ, Peronismo)"
"Australia_1996","Australia","1996","A",360003,"Australia","  Australian Labor Party (ALP)"
"Australia_1996","Australia","1996","B",360001,"Australia","  Liberal Party (LP)"
"Australia_1996","Australia","1996","C",360002,"Australia","  National Party of Australia (NPA) - SEE ELECTION STUDY NOTES "
"Australia_1996","Australia","1996","D",360004,"Australia","  Australian Democrats (AD)"
"Australia_1996","Australia","1996","E",360005,"Australia","  Australian Greens (AG)"
"Australia_2004","Australia","2004","A",360001,"Australia","  Liberal Party (LP)"
"Australia_2004","Australia","2004","B",360003,"Australia","  Australian Labor Party (ALP)"
"Australia_2004","Australia","2004","C",360005,"Australia","  Australian Greens (AG)"
"Australia_2004","Australia","2004","D",360002,"Australia","  National Party of Australia (NPA) - SEE ELECTION STUDY NOTES "
"Australia_2004","Australia","2004","E",360011,"Australia","  Family First Party (FFP)"
"Australia_2004","Australia","2004","F",360004,"Australia","  Australian Democrats (AD)"
"Australia_2004","Australia","2004","G",360008,"Australia","  One Nation Party (ONP)"
"Australia_2007","Australia","2007","A",360003,"Australia","  Australian Labor Party (ALP)"
"Australia_2007","Australia","2007","B",360001,"Australia","  Liberal Party (LP)"
"Australia_2007","Australia","2007","C",360002,"Australia","  National Party of Australia (NPA) - SEE ELECTION STUDY NOTES "
"Australia_2007","Australia","2007","D",360005,"Australia","  Australian Greens (AG)"
"Australia_2013","Australia","2013","A",360001,"Australia","  Liberal Party (LP)"
"Australia_2013","Australia","2013","B",360003,"Australia","  Australian Labor Party (ALP)"
"Australia_2013","Australia","2013","C",360005,"Australia","  Australian Greens (AG)"
"Australia_2013","Australia","2013","D",360013,"Australia","  Palmer United Party (PUP) / Clive Palmer's United Australia Party (UAP)"
"Australia_2013","Australia","2013","E",360002,"Australia","  National Party of Australia (NPA) - SEE ELECTION STUDY NOTES "
"Australia_2019","Australia","2019","A",360001,"Australia","  Liberal Party (LP)"
"Australia_2019","Australia","2019","B",360003,"Australia","  Australian Labor Party (ALP)"
"Australia_2019","Australia","2019","C",360005,"Australia","  Australian Greens (AG)"
"Australia_2019","Australia","2019","D",360002,"Australia","  National Party of Australia (NPA) - SEE ELECTION STUDY NOTES "
"Australia_2019","Australia","2019","E",360013,"Australia","  Palmer United Party (PUP) / Clive Palmer's United Australia Party (UAP)"
"Australia_2019","Australia","2019","F",360008,"Australia","  One Nation Party (ONP)"
"Austria_2008","Austria","2008","A",400001,"Austria","  Social Democratic Party of Austria (SPO)"
"Austria_2008","Austria","2008","B",400002,"Austria","  Austrian People's Party (OVP) - SEE POLITY NOTES"
"Austria_2008","Austria","2008","C",400003,"Austria","  Freedom Party of Austria (FPO)"
"Austria_2008","Austria","2008","D",400004,"Austria","  Alliance for the Future of Austria (BZO)"
"Austria_2008","Austria","2008","E",400005,"Austria","  The Greens - The Green Alternative (GRUENE)"
"Austria_2008","Austria","2008","F",400007,"Austria","  Liberal Forum (LiF)"
"Austria_2008","Austria","2008","G",400013,"Austria","  Dinkhauser List "
"Austria_2013","Austria","2013","A",400001,"Austria","  Social Democratic Party of Austria (SPO)"
"Austria_2013","Austria","2013","B",400002,"Austria","  Austrian People's Party (OVP) - SEE POLITY NOTES"
"Austria_2013","Austria","2013","C",400003,"Austria","  Freedom Party of Austria (FPO)"
"Austria_2013","Austria","2013","D",400005,"Austria","  The Greens - The Green Alternative (GRUENE)"
"Austria_2013","Austria","2013","E",400004,"Austria","  Alliance for the Future of Austria (BZO)"
"Austria_2013","Austria","2013","F",400010,"Austria","  The New Austria (NEOS) - SEE POLITY NOTES"
"Austria_2013","Austria","2013","G",400012,"Austria","  Team Stronach (TEAM STRONACH)"
"Austria_2013","Austria","2013","H",400006,"Austria","  Communist Party of Austria (KPO)"
"Austria_2013","Austria","2013","I",400011,"Austria","  Pirate Party (PIRATEN)"
"Austria_2017","Austria","2017","A",400002,"Austria","  Austrian People's Party (OVP) - SEE POLITY NOTES"
"Austria_2017","Austria","2017","B",400001,"Austria","  Social Democratic Party of Austria (SPO)"
"Austria_2017","Austria","2017","C",400003,"Austria","  Freedom Party of Austria (FPO)"
"Austria_2017","Austria","2017","D",400010,"Austria","  The New Austria (NEOS) - SEE POLITY NOTES"
"Austria_2017","Austria","2017","E",400008,"Austria","  Peter Pilz List (PILZ)"
"Austria_2017","Austria","2017","F",400005,"Austria","  The Greens - The Green Alternative (GRUENE)"
"Bulgaria_2001","Bulgaria","2001","A",1000019,"Bulgaria","  National Movement for Stability and Progress (NDS)"
"Bulgaria_2001","Bulgaria","2001","B",1000034,"Bulgaria","  United Democratic Forces (UDF) - POLITY NOTES"
"Bulgaria_2001","Bulgaria","2001","C",1000002,"Bulgaria","  Bulgarian Socialist Party (BSP)"
"Bulgaria_2001","Bulgaria","2001","D",1000003,"Bulgaria","  Movement for Rights and Freedoms (DPS)"
"Bulgaria_2001","Bulgaria","2001","E",1000036,"Bulgaria","  Movement 'Georgievden' (DG)"
"Bulgaria_2001","Bulgaria","2001","F",1000040,"Bulgaria","  Euroleft (BE)"
"Bulgaria_2001","Bulgaria","2001","G",1000025,"Bulgaria","  Inner Macedonian Revolutionary Organization (VMRO)"
"Bulgaria_2014","Bulgaria","2014","A",1000001,"Bulgaria","  Citizens for European Development of Bulgaria (GERB)"
"Bulgaria_2014","Bulgaria","2014","B",1000020,"Bulgaria","  BSP Left Bulgaria - Coalition for Bulgaria (KzB | DL) -"
"Bulgaria_2014","Bulgaria","2014","C",1000003,"Bulgaria","  Movement for Rights and Freedoms (DPS)"
"Bulgaria_2014","Bulgaria","2014","D",1000004,"Bulgaria","  Reformist Bloc (RB) - SEE POLITY NOTES"
"Bulgaria_2014","Bulgaria","2014","E",1000005,"Bulgaria","  Patriotic Front (NFSB and IMRO) - SEE POLITY NOTES"
"Bulgaria_2014","Bulgaria","2014","F",1000006,"Bulgaria","  Bulgaria without Censorship (BBZ)"
"Bulgaria_2014","Bulgaria","2014","G",1000007,"Bulgaria","  Attack (Ataka)"
"Bulgaria_2014","Bulgaria","2014","H",1000008,"Bulgaria","  Alternative for Bulgarian Revival (ABV)"
"Bulgaria_2014","Bulgaria","2014","I",1000009,"Bulgaria","  Movement 21 (D21)"
"Belarus_2001","Belarus","2001","A",1120001,"Belarus","  Communist Party of Belarus "
"Belarus_2001","Belarus","2001","B",1120004,"Belarus","  Agrarian Party "
"Belarus_2001","Belarus","2001","D",1120002,"Belarus","  Liberal Democratic Party (LDP)"
"Belarus_2001","Belarus","2001","G",1120019,"Belarus","  Belarusian Social-Democratic Party (People's Assembly) (BSDPH)"
"Belarus_2001","Belarus","2001","H",1120005,"Belarus","  United Civil Party "
"Belarus_2001","Belarus","2001","I",1120017,"Belarus","  Christian Conservative Party (BPF)"
"Belarus_2008","Belarus","2008","A",1120001,"Belarus","  Communist Party of Belarus "
"Belarus_2008","Belarus","2008","B",1120004,"Belarus","  Agrarian Party "
"Belarus_2008","Belarus","2008","C",1120017,"Belarus","  Christian Conservative Party (BPF)"
"Belarus_2008","Belarus","2008","D",1120027,"Belarus","  The BNF Party "
"Belarus_2008","Belarus","2008","E",1120008,"Belarus","  Belarusian Left Party 'A Just World' - SEE POLITY NOTES"
"Belarus_2008","Belarus","2008","F",1120005,"Belarus","  United Civil Party "
"Belarus_2008","Belarus","2008","G",1120009,"Belarus","  Belarusian Social-Democratic (Assembly) "
"Belarus_2008","Belarus","2008","H",1120002,"Belarus","  Liberal Democratic Party (LDP)"
"Brazil_2002","Brazil","2002","A",760001,"Brazil","  Workers Party (PT)"
"Brazil_2002","Brazil","2002","B",760002,"Brazil","  Brazilian Social Democratic Party (PSDB)"
"Brazil_2002","Brazil","2002","C",760009,"Brazil","  Democrats (DEM) - SEE POLITY/ELECTION STUDY NOTES"
"Brazil_2002","Brazil","2002","D",760003,"Brazil","  (Party of the) Brazilian Democratic Movement (PMDB/MDB) - SEE "
"Brazil_2002","Brazil","2002","E",760048,"Brazil","  Brazilian Progressive Party (PPB)"
"Brazil_2002","Brazil","2002","F",760005,"Brazil","  Brazilian Socialist Party (PSB)"
"Brazil_2002","Brazil","2002","G",760011,"Brazil","  Labor Democratic Party (PDT)"
"Brazil_2002","Brazil","2002","H",760010,"Brazil","  Brazilian Labor Party (PTB)"
"Brazil_2002","Brazil","2002","I",760046,"Brazil","  Liberal Party (PL)"
"Brazil_2006","Brazil","2006","A",760003,"Brazil","  (Party of the) Brazilian Democratic Movement (PMDB/MDB) - SEE "
"Brazil_2006","Brazil","2006","B",760001,"Brazil","  Workers Party (PT)"
"Brazil_2006","Brazil","2006","C",760002,"Brazil","  Brazilian Social Democratic Party (PSDB)"
"Brazil_2006","Brazil","2006","D",760009,"Brazil","  Democrats (DEM) - SEE POLITY/ELECTION STUDY NOTES"
"Brazil_2006","Brazil","2006","E",760011,"Brazil","  Labor Democratic Party (PDT)"
"Brazil_2006","Brazil","2006","F",760010,"Brazil","  Brazilian Labor Party (PTB)"
"Brazil_2010","Brazil","2010","A",760001,"Brazil","  Workers Party (PT)"
"Brazil_2010","Brazil","2010","B",760003,"Brazil","  (Party of the) Brazilian Democratic Movement (PMDB/MDB) - SEE "
"Brazil_2010","Brazil","2010","C",760002,"Brazil","  Brazilian Social Democratic Party (PSDB)"
"Brazil_2010","Brazil","2010","D",760007,"Brazil","  Republic Party (PR) - SEE POLITY NOTES"
"Brazil_2010","Brazil","2010","E",760009,"Brazil","  Democrats (DEM) - SEE POLITY/ELECTION STUDY NOTES"
"Brazil_2010","Brazil","2010","F",760005,"Brazil","  Brazilian Socialist Party (PSB)"
"Brazil_2010","Brazil","2010","G",760004,"Brazil","  Progressive Party (PP)"
"Brazil_2010","Brazil","2010","H",760011,"Brazil","  Labor Democratic Party (PDT)"
"Brazil_2010","Brazil","2010","I",760010,"Brazil","  Brazilian Labor Party (PTB)"
"Brazil_2014","Brazil","2014","A",760001,"Brazil","  Workers Party (PT)"
"Brazil_2014","Brazil","2014","B",760002,"Brazil","  Brazilian Social Democratic Party (PSDB)"
"Brazil_2014","Brazil","2014","C",760003,"Brazil","  (Party of the) Brazilian Democratic Movement (PMDB/MDB) - SEE "
"Brazil_2014","Brazil","2014","D",760004,"Brazil","  Progressive Party (PP)"
"Brazil_2014","Brazil","2014","E",760005,"Brazil","  Brazilian Socialist Party (PSB)"
"Brazil_2014","Brazil","2014","F",760006,"Brazil","  Social Democratic Party (PSD)"
"Brazil_2014","Brazil","2014","G",760007,"Brazil","  Republic Party (PR) - SEE POLITY NOTES"
"Brazil_2014","Brazil","2014","H",760026,"Brazil","  Progressive Republican Party (PRP)"
"Brazil_2014","Brazil","2014","I",760009,"Brazil","  Democrats (DEM) - SEE POLITY/ELECTION STUDY NOTES"
"Brazil_2018","Brazil","2018","A",760024,"Brazil","  Social Liberal Party (PSL)"
"Brazil_2018","Brazil","2018","B",760001,"Brazil","  Workers Party (PT)"
"Brazil_2018","Brazil","2018","C",760002,"Brazil","  Brazilian Social Democratic Party (PSDB)"
"Brazil_2018","Brazil","2018","D",760006,"Brazil","  Social Democratic Party (PSD)"
"Brazil_2018","Brazil","2018","E",760004,"Brazil","  Progressive Party (PP)"
"Brazil_2018","Brazil","2018","F",760003,"Brazil","  (Party of the) Brazilian Democratic Movement (PMDB/MDB) - SEE "
"Brazil_2018","Brazil","2018","G",760005,"Brazil","  Brazilian Socialist Party (PSB)"
"Brazil_2018","Brazil","2018","H",760007,"Brazil","  Republic Party (PR) - SEE POLITY NOTES"
"Brazil_2018","Brazil","2018","I",760008,"Brazil","  Brazilian Republican Party (PRB)"
"Canada_1997","Canada","1997","A",1240001,"Canada","  Liberal Party (LIB)"
"Canada_1997","Canada","1997","B",1240007,"Canada","  Reform Party (RPC)"
"Canada_1997","Canada","1997","C",1240006,"Canada","  Progressive Conservative (PC)"
"Canada_1997","Canada","1997","D",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_1997","Canada","1997","E",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2004","Canada","2004","A",1240001,"Canada","  Liberal Party (LIB)"
"Canada_2004","Canada","2004","B",1240002,"Canada","  Conservative Party (CP)"
"Canada_2004","Canada","2004","C",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_2004","Canada","2004","D",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2004","Canada","2004","E",1240005,"Canada","  Green Party (GP)"
"Canada_2008","Canada","2008","A",1240002,"Canada","  Conservative Party (CP)"
"Canada_2008","Canada","2008","B",1240001,"Canada","  Liberal Party (LIB)"
"Canada_2008","Canada","2008","C",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2008","Canada","2008","D",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_2008","Canada","2008","E",1240005,"Canada","  Green Party (GP)"
"Canada_2011","Canada","2011","A",1240002,"Canada","  Conservative Party (CP)"
"Canada_2011","Canada","2011","B",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_2011","Canada","2011","C",1240001,"Canada","  Liberal Party (LIB)"
"Canada_2011","Canada","2011","D",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2011","Canada","2011","E",1240005,"Canada","  Green Party (GP)"
"Canada_2015","Canada","2015","A",1240001,"Canada","  Liberal Party (LIB)"
"Canada_2015","Canada","2015","B",1240002,"Canada","  Conservative Party (CP)"
"Canada_2015","Canada","2015","C",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_2015","Canada","2015","D",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2015","Canada","2015","E",1240005,"Canada","  Green Party (GP)"
"Canada_2019","Canada","2019","A",1240002,"Canada","  Conservative Party (CP)"
"Canada_2019","Canada","2019","B",1240001,"Canada","  Liberal Party (LIB)"
"Canada_2019","Canada","2019","C",1240003,"Canada","  New Democratic Party (NDP)"
"Canada_2019","Canada","2019","D",1240004,"Canada","  Bloc Quebecois (BQ) - SEE POLITY NOTES"
"Canada_2019","Canada","2019","E",1240005,"Canada","  Green Party (GP)"
"Canada_2019","Canada","2019","F",1240009,"Canada","  People's Party (PP) "
"Switzerland_1999","Switzerland","1999","A",7560001,"Switzerland","  Swiss People's Party (SVP / UDC)"
"Switzerland_1999","Switzerland","1999","B",7560002,"Switzerland","  Social Democratic Party (SP / PS)"
"Switzerland_1999","Switzerland","1999","C",7560024,"Switzerland","  Radical Democratic Party (FDP / PLR) - SEE ELECTION STUDY NOTES"
"Switzerland_1999","Switzerland","1999","D",7560003,"Switzerland","  Christian Democratic People's Party (CVP / PDC)"
"Switzerland_1999","Switzerland","1999","E",7560005,"Switzerland","  Green Party (GPS / PES)"
"Switzerland_1999","Switzerland","1999","F",7560014,"Switzerland","  Liberal Party (LPS / PLS) - SEE POLITY NOTES"
"Switzerland_2003","Switzerland","2003","A",7560001,"Switzerland","  Swiss People's Party (SVP / UDC)"
"Switzerland_2003","Switzerland","2003","B",7560002,"Switzerland","  Social Democratic Party (SP / PS)"
"Switzerland_2003","Switzerland","2003","C",7560024,"Switzerland","  Radical Democratic Party (FDP / PLR) - SEE ELECTION STUDY NOTES"
