id,country,year,Party,party,num_id,lhvote,lhseat,voterlr,pre_gov,post_gov,pmalt,prepmalt,partycountry,maj,pres,plu,majsurvey,nparty,wmedlrcvr,difmedlrcvr,remove_s,nelec,missing
ALB_2005,ALB,2005,PD,A,80002,44.06,40,8.838161838,0,1,1,0,ALB PD,0,0,1,0,9,0,1.336717679,0,1,0
ALB_2005,ALB,2005,PS,B,80001,39.44,30,1.50998004,1,1,0,1,ALB PS,0,0,0,0,9,0,5.991464119,0,1,0
ALB_2005,ALB,2005,PR,C,80004,0,7.86,7.75,0,0,0,0,ALB PR,0,0,0,0,9,0.5,0.248555841,0,1,0
ALB_2005,ALB,2005,PSD,D,80005,1.34,5,2.90931677,1,0,0,0,ALB PSD,0,0,0,0,9,0,4.592127389,0,1,0
ALB_2005,ALB,2005,LSI,E,80003,8.23,3.57,2.795505618,0,0,0,0,ALB LSI,0,0,0,0,9,0,4.705938541,0,1,0
ALB_2005,ALB,2005,PDR,F,80030,0,2.86,7.252888318,0,1,0,0,ALB PDR,0,0,0,0,9,0.5,0.248555841,0,1,0
ALB_2005,ALB,2005,PAA,G,80031,0.73,2.86,3.438152012,0,1,0,0,ALB PAA,0,0,0,0,9,0,4.063292147,0,1,0
ALB_2005,ALB,2005,PAD,H,80011,0.78,2.14,4.049315068,0,0,0,0,ALB PAD,0,0,0,0,9,0,3.452129091,0,1,0
ALB_2005,ALB,2005,PDK,I,80010,0,1.43,6.512091038,0,0,0,0,ALB PDK,0,0,0,0,9,0,0.989353121,0,1,0
ARG_2015,ARG,2015,FPV,A,320001,37.4,43.85,5.281840592,1,0,NA,NA,ARG FPV,0,1,1,0,6,0.333333333,0.300617848,0,1,0
ARG_2015,ARG,2015,UNA,C,320003,14.37,10.77,4.749306198,0,0,NA,NA,ARG UNA,0,1,0,0,6,0.333333333,0.231916546,0,1,0
ARG_2015,ARG,2015,Pro,E,320005,2.46,0.77,4.281853282,0,0,NA,NA,ARG Pro,0,1,0,0,6,0,0.699369462,0,1,0
ARG_2015,ARG,2015,PR,G,320007,NA,NA,5.670843776,0,1,NA,NA,ARG PR,NA,1,NA,0,6,0,0.689621033,0,1,1
ARG_2015,ARG,2015,UCR,H,320008,NA,NA,4.912521441,0,1,NA,NA,ARG UCR,NA,1,NA,0,6,0.333333333,0.068701303,0,1,1
