country,year,Party,CoreT3,CorepvalT3,FCoreT3,FCorepvalT3,CoreWT3,CorepvalWT3,FCoreWT3,FCorepvalWT3,CWinT3,CwinpvalT3,FCWinT3,FCwinpvalT3,CWinWT3,CwinpvalWT3,FCWinWT3,FCwinpvalWT3
ALB,2005,PD,1,0.99814453125,1,5.66634262104742e-20,1,0.99814453125,1,5.66634262104742e-20,1,0.99814453125,1,2.85122357626625e-05,1,0.99814453125,1,2.85122357626625e-05
ALB,2005,PS,0,0.0015625,0,0.999971487764237,0,0.0015625,0,0.999971487764237,0,0.0015625,0,1,0,0.0015625,0,1
ALB,2005,PR,0,0.0015625,0,0.999999956979727,0,0.0015625,0,0.999999956979727,0,0.0015625,0,1,0,0.0015625,0,1
ALB,2005,PSD,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1
ALB,2005,LSI,0,0.0015625,0,0.999999089304904,0,0.0015625,0,0.999999089304904,0,0.0015625,0,1,0,0.0015625,0,1
ALB,2005,PDR,0,0.0015625,0,0.999999999999999,0,0.0015625,0,0.999999999999999,0,0.0015625,0,1,0,0.0015625,0,1
ALB,2005,PAA,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1
ALB,2005,PAD,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1
ALB,2005,PDK,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1
ARG,2015,FPV,1,0.99814453125,1,1.81415465531907e-18,1,0.99814453125,1,1.81415465531907e-18,0,0.0015625,0,1,0,0.0015625,0,1
ARG,2015,UNA,0,0.0015625,0,0.999984009099675,0,0.0015625,0,0.999984009099675,0,0.0015625,0,1,0,0.0015625,0,1
ARG,2015,Pro,0,0.0015625,0,0.999999999995124,0,0.0015625,0,0.999999999995124,0,0.0015625,0,1,0,0.0015625,0,1
ARG,2015,PR,1,0.58623046875,0,0.597302105520748,1,0.58623046875,0,0.597302105520748,0,0.0015625,0,1,0,0.0015625,0,1
ARG,2015,UCR,0,0.0015625,0,0.999999898205809,0,0.0015625,0,0.999999898205809,0,0.0015625,0,1,0,0.0015625,0,1
ARG,2015,PJ,1,0.99814453125,1,7.26636363351302e-30,1,0.99814453125,1,7.26636363351302e-30,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2004,LP,1,0.99814453125,1,6.45515011907793e-22,1,0.99814453125,1,6.45515011907793e-22,1,0.30419921875,0,0.831644627451969,1,0.30419921875,0,0.831644627451969
AUS,2004,ALP,1,0.91650390625,0,0.17557163144184,1,0.91650390625,0,0.17557163144184,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2004,Green,0,0.0015625,0,0.999999999864686,0,0.0015625,0,0.999999999864686,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2004,NP,1,0.99814453125,0,0.168355372548031,1,0.99814453125,0,0.168355372548031,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2004,AD,0,0.0015625,0,0.999999999999969,0,0.0015625,0,0.999999999999969,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2004,ON,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2007,ALP,1,0.99814453125,1,1.07020639629981e-21,1,0.99814453125,1,1.07020639629981e-21,0,0.0265625,0,0.978786935145192,0,0.0265625,0,0.978786935145192
AUS,2007,LP,1,0.99814453125,1,0.0212130648548081,1,0.99814453125,1,0.0212130648548081,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2007,NP,0,0.0015625,0,0.999999412061039,0,0.0015625,0,0.999999412061039,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2007,Green,0,0.0015625,0,0.999896550749155,0,0.0015625,0,0.999896550749155,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2013,LP,1,0.99814453125,1,5.29702697396786e-33,1,0.99814453125,1,5.29702697396786e-33,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2013,ALP,1,0.99814453125,1,1.1543667482649e-07,1,0.99814453125,1,1.1543667482649e-07,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2013,Green,0,0.0015625,0,0.999998483284534,0,0.0015625,0,0.999998483284534,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2013,NP,1,0.99814453125,1,3.09731396899015e-09,1,0.99814453125,1,3.09731396899015e-09,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2019,LP,1,0.99814453125,1,1.14036798559879e-11,1,0.99814453125,1,1.99276290840081e-09,0,0.0015625,0,0.999998843759912,0,0.0140625,0,0.995337479011743
AUS,2019,ALP,1,0.99814453125,1,1.15624008791145e-06,1,0.99814453125,1,0.004662520988257,0,0.0015625,0,0.999999999988596,0,0.0015625,0,0.999999998007237
AUS,2019,Green,1,0.63818359375,0,0.623857704591248,1,0.12607421875,0,0.937088245909725,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2019,NP,1,0.15205078125,0,0.930126696787217,1,0.54541015625,0,0.692733349298697,0,0.0015625,0,1,0,0.0015625,0,1
AUS,2019,ON,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1,0,0.0015625,0,1
AUS,1996,ALP,1,0.94619140625,0,0.146632214252218,1,0.94619140625,0,0.146632214252218,0,0.0015625,0,1,0,0.0015625,0,1
AUS,1996,LP,1,0.99814453125,1,2.47885187329448e-30,1,0.99814453125,1,2.47885187329448e-30,1,0.33759765625,0,0.853367785747782,1,0.33759765625,0,0.853367785747782
AUS,1996,NP,0,0.0265625,0,0.975221994926976,0,0.0265625,0,0.975221994926976,0,0.0015625,0,1,0,0.0015625,0,1
AUS,1996,AD,1,0.70498046875,0,0.365856110985945,1,0.70498046875,0,0.365856110985945,0,0.0015625,0,1,0,0.0015625,0,1
