"","case","count_candidate","count_tie","count_cycle"
"1","Albania_2005",10000,0,0
"2","Albania_2017",10000,0,0
"3","Argentina_2015",9940,60,0
"4","Australia_1996",10000,0,0
"5","Australia_2004",10000,0,0
"6","Australia_2007",10000,0,0
"7","Australia_2013",10000,0,0
"8","Australia_2019",9973,27,0
"9","Austria_2008",9987,13,0
"10","Austria_2013",10000,0,0
"11","Austria_2017",10000,0,0
"12","B_FL_1999",9999,0,1
"13","B_FL_2019",8467,725,808
"14","B_WA_1999",10000,0,0
"15","B_WA_2019",10000,0,0
"16","Belarus_2001",7232,2015,735
"17","Belarus_2008",9036,589,375
"18","Brazil_2002",10000,0,0
"19","Brazil_2006",10000,0,0
"20","Brazil_2010",10000,0,0
"21","Brazil_2014",10000,0,0
"22","Brazil_2018",9991,2,7
"23","Bulgaria_2001",10000,0,0
"24","Bulgaria_2014",10000,0,0
"25","Canada_1997",10000,0,0
"26","Canada_2004",10000,0,0
"27","Canada_2008",10000,0,0
"28","Canada_2011",10000,0,0
"29","Canada_2015",10000,0,0
"30","Canada_2019",9844,82,74
"31","Chile_1999",10000,0,0
"32","Chile_2005",9901,99,0
"33","Chile_2009",9583,277,140
"34","Chile_2017",8667,707,609
"35","Costa Rica_2018",9977,23,0
"36","Croatia_2007",9026,524,450
"37","Czech Republic/Czechia_1996",9975,24,1
"38","Czech Republic/Czechia_2002",10000,0,0
"39","Czech Republic/Czechia_2006",10000,0,0
"40","Czech Republic/Czechia_2010",10000,0,0
"41","Czech Republic/Czechia_2013",10000,0,0
"42","Czech Republic/Czechia_2017",10000,0,0
"43","Czech Republic/Czechia_2021",9946,50,4
"44","Denmark_1998",10000,0,0
"45","Denmark_2001",10000,0,0
"46","Denmark_2007",9848,151,1
"47","Denmark_2019",10000,0,0
"48","El Salvador_2019",10000,0,0
"49","Estonia_2011",10000,0,0
"50","Finland_2003",10000,0,0
"51","Finland_2007",10000,0,0
"52","Finland_2011",10000,0,0
"53","Finland_2015",10000,0,0
"54","Finland_2019",9705,289,6
"55","France_2002",10000,0,0
"56","France_2007",10000,0,0
"57","France_2012",10000,0,0
"58","France_2017",10000,0,0
"59","Germany_1998",10000,0,0
"60","Germany_2002",10000,0,0
"61","Germany_2005",10000,0,0
"62","Germany_2009",10000,0,0
"63","Germany_2013",10000,0,0
"64","Germany_2017",10000,0,0
"65","Germany_2021",10000,0,0
"66","Greece_2009",10000,0,0
"67","Greece_2012",10000,0,0
"68","Greece_2015",10000,0,0
"69","Greece_2019",10000,0,0
"70","Hong Kong_1998",10000,0,0
"71","Hong Kong_2000",9763,213,24
"72","Hong Kong_2004",9982,0,18
"73","Hong Kong_2008",10000,0,0
"74","Hong Kong_2012",8233,1445,322
"75","Hong Kong_2016",9951,49,0
"76","Hungary_1998",10000,0,0
"77","Hungary_2002",10000,0,0
"78","Hungary_2018",10000,0,0
"79","Iceland_1999",10000,0,0
"80","Iceland_2003",9897,0,103
"81","Iceland_2007",10000,0,0
"82","Iceland_2009",10000,0,0
"83","Iceland_2013",10000,0,0
"84","Iceland_2016",10000,0,0
"85","Iceland_2017",10000,0,0
"86","Ireland_2002",10000,0,0
"87","Ireland_2007",10000,0,0
"88","Ireland_2011",10000,0,0
"89","Ireland_2016",9996,4,0
"90","Israel_1996",9999,1,0
"91","Israel_2003",10000,0,0
"92","Israel_2006",10000,0,0
"93","Israel_2013",10000,0,0
"94","Israel_2020",10000,0,0
"95","Italy_2006",8638,771,591
"96","Italy_2018",10000,0,0
"97","Japan_1996",10000,0,0
"98","Japan_2004",9984,16,0
"99","Japan_2007",10000,0,0
"100","Japan_2013",10000,0,0
"101","Japan_2017",10000,0,0
"102","Kenya_2013",10000,0,0
"103","Kyrgyzstan_2005",9992,0,8
"104","Latvia_2010",9988,12,0
"105","Latvia_2011",10000,0,0
"106","Latvia_2014",10000,0,0
"107","Latvia_2018",9999,0,1
"108","Lithuania_1997",10000,0,0
"109","Lithuania_2016",10000,0,0
"110","Lithuania_2020",10000,0,0
"111","Mexico_1997",10000,0,0
"112","Mexico_2000",10000,0,0
"113","Mexico_2003",10000,0,0
"114","Mexico_2006",10000,0,0
"115","Mexico_2009",10000,0,0
"116","Mexico_2012",10000,0,0
"117","Mexico_2015",10000,0,0
"118","Mexico_2018",10000,0,0
"119","Montenegro_2012",9991,6,3
"120","Montenegro_2016",10000,0,0
"121","Netherlands_1998",10000,0,0
"122","Netherlands_2002",10000,0,0
"123","Netherlands_2006",9854,145,1
"124","Netherlands_2010",10000,0,0
"125","Netherlands_2017",9977,19,4
"126","Netherlands_2021",10000,0,0
"127","New Zealand_1996",10000,0,0
"128","New Zealand_2002",10000,0,0
"129","New Zealand_2008",10000,0,0
"130","New Zealand_2011",10000,0,0
"131","New Zealand_2014",10000,0,0
"132","New Zealand_2017",10000,0,0
"133","New Zealand_2020",10000,0,0
"134","Norway_1997",10000,0,0
"135","Norway_2001",10000,0,0
"136","Norway_2005",10000,0,0
"137","Norway_2009",10000,0,0
"138","Norway_2013",9886,114,0
"139","Norway_2017",10000,0,0
"140","Peru_2000",10000,0,0
"141","Peru_2001",9996,1,3
"142","Peru_2006",9997,0,3
"143","Peru_2011",8535,341,1124
"144","Peru_2016",10000,0,0
"145","Peru_2021",9963,31,6
"146","Philippines_2004",9826,83,91
"147","Philippines_2010",10000,0,0
"148","Philippines_2016",9999,1,0
"149","Poland_1997",10000,0,0
"150","Poland_2001",10000,0,0
"151","Poland_2005",9958,33,9
"152","Poland_2007",10000,0,0
"153","Poland_2011",10000,0,0
"154","Poland_2019",10000,0,0
"155","Portugal_2002",9733,267,0
"156","Portugal_2005",10000,0,0
"157","Portugal_2009",10000,0,0
"158","Portugal_2015",10000,0,0
"159","Portugal_2019",10000,0,0
"160","Republic of Korea_2000",9560,440,0
"161","Republic of Korea_2004",10000,0,0
"162","Republic of Korea_2008",10000,0,0
"163","Republic of Korea_2012",9796,204,0
"164","Republic of Korea_2016",9749,251,0
"165","Romania_1996",10000,0,0
"166","Romania_2004",10000,0,0
"167","Romania_2009",9822,0,178
"168","Romania_2012",10000,0,0
"169","Romania_2014",10000,0,0
"170","Romania_2016",10000,0,0
"171","Russian Federation_1999",10000,0,0
"172","Serbia_2012",10000,0,0
"173","Slovakia_2010",10000,0,0
"174","Slovakia_2016",10000,0,0
"175","Slovakia_2020",10000,0,0
"176","Slovenia_1996",9942,58,0
"177","Slovenia_2004",10000,0,0
"178","Slovenia_2008",10000,0,0
"179","Slovenia_2011",10000,0,0
"180","South Africa_2009",10000,0,0
"181","South Africa_2014",10000,0,0
"182","Spain_1996",10000,0,0
"183","Spain_2000",10000,0,0
"184","Spain_2008",10000,0,0
"185","Sweden_1998",10000,0,0
"186","Sweden_2002",10000,0,0
"187","Sweden_2006",9995,5,0
"188","Sweden_2014",10000,0,0
"189","Sweden_2018",10000,0,0
"190","Switzerland_1999",10000,0,0
"191","Switzerland_2003",10000,0,0
"192","Switzerland_2011",9922,67,11
"193","Taiwan_1996",10000,0,0
"194","Taiwan_2001",10000,0,0
"195","Taiwan_2004",10000,0,0
"196","Taiwan_2008",10000,0,0
"197","Taiwan_2012",10000,0,0
"198","Taiwan_2016",10000,0,0
"199","Taiwan_2020",10000,0,0
"200","Thailand_2001",10000,0,0
"201","Thailand_2007",10000,0,0
"202","Thailand_2011",10000,0,0
"203","Thailand_2019",10000,0,0
"204","Tunisia_2019",9994,3,3
"205","Turkey_2011",10000,0,0
"206","Turkey_2015",10000,0,0
"207","Turkey_2018",10000,0,0
"208","Ukraine_1998",9554,446,0
"209","United States of America_1996",10000,0,0
"210","United States of America_2004",10000,0,0
"211","United States of America_2008",10000,0,0
"212","United States of America_2012",10000,0,0
"213","United States of America_2016",10000,0,0
"214","United States of America_2020",10000,0,0
"215","Uruguay_2009",10000,0,0
"216","Uruguay_2019",10000,0,0
