case,count_candidate,count_tie,count_cycle
Albania_2005,10000,0,0
Albania_2017,10000,0,0
Argentina_2015,9904,96,0
Australia_1996,10000,0,0
Australia_2004,10000,0,0
Australia_2007,10000,0,0
Australia_2013,10000,0,0
Australia_2019,9950,50,0
Austria_2008,9846,154,0
Austria_2013,10000,0,0
Austria_2017,10000,0,0
B_FL_1999,9122,134,744
B_FL_2019,9212,231,557
B_WA_1999,10000,0,0
B_WA_2019,10000,0,0
Belarus_2001,9807,193,0
Belarus_2008,9895,98,7
Brazil_2002,10000,0,0
Brazil_2006,10000,0,0
Brazil_2010,10000,0,0
Brazil_2014,10000,0,0
Brazil_2018,10000,0,0
Bulgaria_2001,10000,0,0
Bulgaria_2014,10000,0,0
Canada_1997,10000,0,0
Canada_2004,10000,0,0
Canada_2008,9878,122,0
Canada_2011,9956,42,2
Canada_2015,10000,0,0
Canada_2019,9947,53,0
Chile_1999,10000,0,0
Chile_2005,9861,138,1
Chile_2009,9466,276,258
Chile_2017,8620,685,695
Costa.Rica_2018,9988,12,0
Croatia_2007,9721,159,120
Czech.Republic.Czechia_1996,9917,83,0
Czech.Republic.Czechia_2002,10000,0,0
Czech.Republic.Czechia_2006,9982,6,12
Czech.Republic.Czechia_2010,9957,40,3
Czech.Republic.Czechia_2013,9971,29,0
Czech.Republic.Czechia_2017,10000,0,0
Czech.Republic.Czechia_2021,9868,108,24
Denmark_1998,9922,78,0
Denmark_2001,10000,0,0
Denmark_2007,9970,30,0
Denmark_2019,10000,0,0
El.Salvador_2019,10000,0,0
Estonia_2011,9997,3,0
Finland_2003,10000,0,0
Finland_2007,10000,0,0
Finland_2011,10000,0,0
Finland_2015,10000,0,0
Finland_2019,9882,81,37
France_2002,10000,0,0
France_2007,10000,0,0
France_2012,10000,0,0
France_2017,10000,0,0
Germany_1998,10000,0,0
Germany_2002,10000,0,0
Germany_2005,10000,0,0
Germany_2009,10000,0,0
Germany_2013,9911,89,0
Germany_2017,10000,0,0
Germany_2021,10000,0,0
Great.Britain_1997,10000,0,0
Great.Britain_2005,10000,0,0
Great.Britain_2015,9999,1,0
Great.Britain_2017,9907,93,0
Great.Britain_2019,10000,0,0
Greece_2009,10000,0,0
Greece_2012,10000,0,0
Greece_2015,10000,0,0
Greece_2019,10000,0,0
Hong.Kong_1998,10000,0,0
Hong.Kong_2000,9999,1,0
Hong.Kong_2004,10000,0,0
Hong.Kong_2008,9995,0,5
Hong.Kong_2012,8264,913,823
Hong.Kong_2016,9852,148,0
Hungary_1998,10000,0,0
Hungary_2002,10000,0,0
Hungary_2018,9999,1,0
Iceland_1999,10000,0,0
Iceland_2003,8681,190,1129
Iceland_2007,10000,0,0
Iceland_2009,10000,0,0
Iceland_2013,10000,0,0
Iceland_2016,10000,0,0
Iceland_2017,10000,0,0
India_2019,10000,0,0
Ireland_2002,10000,0,0
Ireland_2007,10000,0,0
Ireland_2011,10000,0,0
Ireland_2016,9996,4,0
Israel_1996,9962,38,0
Israel_2003,10000,0,0
Israel_2006,10000,0,0
Israel_2013,9978,22,0
Israel_2020,10000,0,0
Italy_2006,8697,817,479
Italy_2018,10000,0,0
Japan_1996,10000,0,0
Japan_2004,9935,65,0
Japan_2007,10000,0,0
Japan_2013,10000,0,0
Japan_2017,10000,0,0
Kenya_2013,10000,0,0
Kyrgyzstan_2005,9995,5,0
Latvia_2010,9995,5,0
Latvia_2011,9436,93,471
Latvia_2014,10000,0,0
Latvia_2018,8989,233,778
Lithuania_1997,9998,2,0
Lithuania_2016,10000,0,0
Lithuania_2020,10000,0,0
Mexico_1997,10000,0,0
Mexico_2000,10000,0,0
Mexico_2003,10000,0,0
Mexico_2006,10000,0,0
Mexico_2009,10000,0,0
Mexico_2012,10000,0,0
Mexico_2015,9972,27,1
Mexico_2018,10000,0,0
Montenegro_2012,10000,0,0
Montenegro_2016,10000,0,0
Netherlands_1998,10000,0,0
Netherlands_2002,10000,0,0
Netherlands_2006,9923,77,0
Netherlands_2010,10000,0,0
Netherlands_2017,9960,39,1
Netherlands_2021,9999,1,0
New.Zealand_1996,10000,0,0
New.Zealand_2002,10000,0,0
New.Zealand_2008,10000,0,0
New.Zealand_2011,10000,0,0
New.Zealand_2014,10000,0,0
New.Zealand_2017,9921,79,0
New.Zealand_2020,10000,0,0
Norway_1997,10000,0,0
Norway_2001,10000,0,0
Norway_2005,10000,0,0
Norway_2009,10000,0,0
Norway_2013,9890,110,0
Norway_2017,10000,0,0
Peru_2000,9895,105,0
Peru_2001,9875,60,65
Peru_2006,9980,12,8
Peru_2011,7928,240,1832
Peru_2016,9997,3,0
Peru_2021,9873,112,15
Philippines_2004,9999,1,0
Philippines_2010,10000,0,0
Philippines_2016,9962,38,0
Poland_1997,10000,0,0
Poland_2001,10000,0,0
Poland_2005,10000,0,0
Poland_2007,10000,0,0
Poland_2011,10000,0,0
Poland_2019,9903,92,5
Portugal_2002,9868,132,0
Portugal_2005,10000,0,0
Portugal_2009,10000,0,0
Portugal_2015,10000,0,0
Portugal_2019,10000,0,0
Republic.of.Korea_2000,9875,125,0
Republic.of.Korea_2004,10000,0,0
Republic.of.Korea_2008,10000,0,0
Republic.of.Korea_2012,9923,77,0
Republic.of.Korea_2016,9915,82,3
Romania_1996,10000,0,0
Romania_2004,9994,6,0
Romania_2009,9167,190,643
Romania_2012,10000,0,0
Romania_2014,10000,0,0
Romania_2016,10000,0,0
Russian.Federation_1999,10000,0,0
Russian.Federation_2000,9929,71,0
Russian.Federation_2004,10000,0,0
Serbia_2012,10000,0,0
Slovakia_2010,10000,0,0
Slovakia_2016,9921,79,0
Slovakia_2020,9853,146,1
Slovenia_1996,9882,118,0
Slovenia_2004,10000,0,0
Slovenia_2008,10000,0,0
Slovenia_2011,10000,0,0
South.Africa_2009,10000,0,0
South.Africa_2014,10000,0,0
Spain_1996,10000,0,0
Spain_2000,10000,0,0
Spain_2004,10000,0,0
Spain_2008,10000,0,0
Sweden_1998,10000,0,0
Sweden_2002,10000,0,0
Sweden_2006,9873,127,0
Sweden_2014,9993,7,0
Sweden_2018,9983,3,14
Switzerland_1999,10000,0,0
Switzerland_2003,9928,72,0
Switzerland_2007,10000,0,0
Switzerland_2011,9497,180,323
Taiwan_1996,10000,0,0
Taiwan_2001,10000,0,0
Taiwan_2004,9961,39,0
Taiwan_2008,10000,0,0
Taiwan_2012,10000,0,0
Taiwan_2016,10000,0,0
Taiwan_2020,10000,0,0
Thailand_2001,10000,0,0
Thailand_2007,10000,0,0
Thailand_2011,10000,0,0
Thailand_2019,10000,0,0
Tunisia_2019,9882,81,37
Turkey_2011,10000,0,0
Turkey_2015,10000,0,0
Turkey_2018,10000,0,0
Ukraine_1998,10000,0,0
United.States.of.America_1996,10000,0,0
United.States.of.America_2004,9981,19,0
United.States.of.America_2008,10000,0,0
United.States.of.America_2012,10000,0,0
United.States.of.America_2016,9968,32,0
United.States.of.America_2020,10000,0,0
Uruguay_2009,10000,0,0
Uruguay_2019,9890,110,0
